0,1,144
0,3,58
0,3,79
0,3,88
0,5,109
0,5,196
0,6,25
0,6,193
0,10,166
0,11,174
0,17,155
0,17,176
0,24,60
0,28,64
0,29,65
0,29,178
0,33,41
0,35,133
0,39,83
0,40,188
0,41,187
0,42,144
0,43,77
0,43,131
0,49,144
0,49,149
0,54,80
0,58,62
0,58,165
0,58,177
0,60,175
0,62,165
0,64,134
0,65,82
0,69,183
0,71,121
0,71,174
0,75,113
0,76,118
0,78,163
0,79,128
0,88,198
0,93,108
0,93,150
0,97,135
0,97,146
0,98,130
0,98,159
0,99,187
0,108,159
0,115,149
0,115,180
0,115,197
0,119,193
0,124,174
0,127,149
0,127,163
0,128,191
0,131,179
0,137,181
0,138,163
0,141,170
0,141,189
0,155,161
0,155,176
0,158,161
0,160,161
0,168,189
0,173,176
0,174,188
0,177,193
0,180,197
1,1,144
1,3,58
1,3,79
1,5,109
1,6,25
1,6,119
1,6,193
1,9,94
1,9,184
1,11,124
1,11,174
1,13,117
1,13,143
1,13,146
1,15,182
1,17,155
1,17,196
1,18,108
1,18,159
1,24,60
1,24,175
1,25,166
1,28,64
1,28,134
1,29,150
1,30,52
1,31,187
1,32,89
1,32,164
1,32,183
1,33,41
1,33,99
1,33,187
1,40,102
1,40,188
1,41,187
1,42,78
1,42,144
1,43,77
1,43,131
1,44,182
1,45,151
1,49,144
1,49,149
1,53,54
1,53,182
1,54,182
1,55,82
1,55,150
1,58,62
1,58,165
1,60,111
1,60,175
1,61,118
1,62,88
1,62,198
1,64,134
1,65,82
1,65,105
1,66,122
1,69,183
1,71,86
1,71,121
1,75,130
1,76,118
1,77,131
1,78,163
1,79,128
1,83,151
1,84,147
1,88,198
1,94,184
1,98,126
1,98,130
1,100,189
1,108,143
1,108,159
1,115,123
1,115,149
1,115,180
1,115,197
1,116,119
1,121,174
1,122,139
1,123,149
1,124,174
1,129,189
1,137,167
1,137,181
1,141,189
1,144,149
1,151,190
1,155,161
1,155,176
1,158,161
1,158,179
1,160,161
1,164,183
1,168,189
1,173,176
1,174,188
1,175,196
1,177,193
1,180,197
1,188,190
2,1,42
2,1,49
2,1,144
2,3,58
2,3,79
2,3,88
2,5,109
2,6,25
2,6,119
2,6,193
2,9,184
2,10,166
2,11,124
2,13,146
2,16,133
2,17,155
2,17,160
2,17,176
2,17,196
2,18,108
2,24,60
2,25,166
2,28,64
2,28,134
2,29,65
2,31,56
2,31,187
2,32,53
2,32,69
2,32,164
2,32,183
2,33,41
2,33,99
2,33,187
2,40,45
2,40,102
2,40,174
2,40,188
2,40,190
2,41,187
2,42,144
2,43,131
2,46,125
2,49,78
2,49,115
2,49,144
2,49,149
2,53,182
2,54,182
2,55,82
2,58,165
2,58,177
2,60,111
2,60,175
2,61,118
2,62,84
2,62,165
2,62,198
2,64,134
2,65,82
2,65,105
2,69,117
2,69,183
2,71,121
2,75,130
2,77,131
2,88,165
2,88,198
2,93,108
2,93,150
2,93,159
2,97,135
2,97,146
2,98,126
2,100,105
2,100,129
2,100,189
2,108,143
2,108,159
2,115,123
2,115,149
2,115,180
2,115,197
2,116,119
2,121,174
2,122,139
2,123,149
2,124,174
2,129,189
2,134,194
2,137,167
2,137,181
2,141,170
2,147,198
2,149,180
2,155,161
2,155,176
2,158,161
2,163,195
2,164,183
2,168,189
2,173,176
2,173,196
2,175,196
2,176,196
2,177,193
2,180,197
2,188,190

